Time,bit-x,bitfinex,bitflyer,bithumb,bitstamp,coinbase,gemini,hitbtc,kraken,others
2018-07-19 00:00:00 UTC,5139.5127,22165.94076149,5939.67128065993,2961.61231211,9924.90650175,11711.5907797399,3843.111181544,7826.61999999997,8121.81648595999,10144.69740682863
2018-07-20 00:00:00 UTC,5226.001,32224.4818685002,7639.63826766992,3558.7477279,10525.77961715,11615.7958501799,2991.9372924095,8513.69999999997,11221.17571027,8958.848707700896
2018-07-21 00:00:00 UTC,5081.1414,11389.74089661,3504.16413623995,1606.23313911,4461.74056446,5845.42827014999,584.5240046457,7330.22999999998,5224.61046781,4758.025879992194
2018-07-22 00:00:00 UTC,5581.18,17110.80193998,4761.33698926996,1865.23873223,5702.97365699,6426.88460903998,734.3371353366,8324.00999999998,5645.59929503,4432.3052640535925
2018-07-23 00:00:00 UTC,5082.6616,46977.9323482404,8450.21885932965,3116.46598034,14372.9546946599,14587.4564929798,3363.3071306046,8127.89999999998,12116.96037507,9482.301709950876
2018-07-24 00:00:00 UTC,5161.3747,62687.5429345608,13876.6167433895,5530.35921281,21733.12942216,23398.9412623297,4546.3665618086,9614.44999999995,19344.97918862,12003.78491799819
2018-07-25 00:00:00 UTC,5092.0756,36670.8677142,9913.32537859978,2836.22321754,11853.88605842,17585.4023540399,3810.4089145351,8292.07999999997,11567.31730195,9739.23886718525
2018-07-26 00:00:00 UTC,5312.7006,32683.6970616103,8316.43245818987,2570.08556502,9380.85096898999,13923.47027297,3460.5512945087,8582.76999999997,11643.6258845,8215.728684343123
2018-07-27 00:00:00 UTC,5285.964,33305.8609318201,10138.0386391298,2941.80570476,10008.78543002,14127.63255366,3763.0092379683,8076.86999999998,11335.1334679,7572.771641504339
2018-07-28 00:00:00 UTC,5090.617,13420.70062904,4613.46656155997,938.816251620001,3155.79640514,4870.46908856,895.242309562,7634.75999999999,3514.12454683,4280.2546343558615
2018-07-29 00:00:00 UTC,5128.3823,10173.63777731,3970.47240422997,930.82811535,4353.73989743,4812.00151202,492.3812508364,8354.16999999999,3378.86740323,3896.0811235063516
2018-07-30 00:00:00 UTC,5221.8573,37050.0622293001,8174.21197163989,1510.8461022,13233.25344372,12437.1525525599,2951.6261489819,10507.56,10121.02071329,9444.147421586638
2018-07-31 00:00:00 UTC,5240.0167,43054.9138075801,9983.77150906978,2667.86855223,13752.99809924,14862.7413597999,3512.209485914,9367.05999999996,12776.1967288,11456.176443992104
2018-08-01 00:00:00 UTC,5028.2831,29885.6103506701,8615.23912377985,1991.79881078,12898.920578,13963.43847247,2227.7508197204,9895.27999999996,10891.82022039,10026.745217059248
2018-08-02 00:00:00 UTC,4824.6698,17695.1015119799,6463.48089402992,1477.40679051,6011.70243541998,8182.50610971999,1663.1628692998,8913.15999999996,7061.72871662001,8019.96260479109
2018-08-03 00:00:00 UTC,5088.8379,30680.84180449,6832.77916268993,1829.11332516,11658.59203903,12787.2325599499,2439.31915638191,9810.63999999995,10443.01320542,7920.020529426659
2018-08-04 00:00:00 UTC,5461.0978,31047.0151535202,6454.6720305299,2320.45089596,7818.40612604,11587.7430812,1463.3331055339,10305.62,9961.60117438997,9958.696725427997
